Filename,Component,Height,Width
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,32,56
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,58,31
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,48,71
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,45,71
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,57,30
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,120,62
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,58,31
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,74,47
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,75,46
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,59,30
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,3,510,353
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,4,65,69
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,4,56,61
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,60,108
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,36,62
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,33,56
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,74,47
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,32,57
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,33,57
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,45,71
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,34,60
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,72,47
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,60,32
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,57,31
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,56,32
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,58,31
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,30,55
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,33,58
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,48,72
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,62,32
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,59,32
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,59,33
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,32,56
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,51,74
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,52,74
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,33,58
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,34,57
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,32,57
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,33,59
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,32,58
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,33,56
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,33,57
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,3,487,485
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,34,56
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,3,183,111
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,3,99,73
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,4,71,58
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,36,58
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,59,33
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,33,57
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,56,33
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,3,105,125
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,30,54
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,58,31
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,59,33
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,57,31
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,4,91,109
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,59,34
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,61,34
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,58,32
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,4,65,98
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,57,32
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,4,45,56
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,36,57
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,34,57
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,3,467,664
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,57,30
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,55,30
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,70,45
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,0,60,31
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,56,30
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,57,28
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,57,31
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,30,56
../../DATASET/UFL_PCB_FULL/yolo_training/train/pcb_1f_cc_5.txt,1,30,56
